filename,jobs,machines,total_operations,max_time,filepath
Fattahi20.fjs,12,8,48,357,data/6_Fattahi/Fattahi20.fjs
Fattahi3.fjs,3,2,6,135,data/6_Fattahi/Fattahi3.fjs
Fattahi13.fjs,6,7,18,320,data/6_Fattahi/Fattahi13.fjs
Fattahi12.fjs,5,7,15,250,data/6_Fattahi/Fattahi12.fjs
Fattahi18.fjs,9,8,36,320,data/6_Fattahi/Fattahi18.fjs
Fattahi8.fjs,3,4,9,160,data/6_Fattahi/Fattahi8.fjs
Fattahi16.fjs,8,7,24,320,data/6_Fattahi/Fattahi16.fjs
Fattahi15.fjs,7,7,21,320,data/6_Fattahi/Fattahi15.fjs
Fattahi11.fjs,5,6,15,214,data/6_Fattahi/Fattahi11.fjs
Fattahi19.fjs,11,8,44,320,data/6_Fattahi/Fattahi19.fjs
Fattahi7.fjs,3,5,9,214,data/6_Fattahi/Fattahi7.fjs
Fattahi5.fjs,3,2,6,71,data/6_Fattahi/Fattahi5.fjs
Fattahi10.fjs,4,5,12,214,data/6_Fattahi/Fattahi10.fjs
Fattahi14.fjs,7,7,21,320,data/6_Fattahi/Fattahi14.fjs
Fattahi4.fjs,3,2,6,152,data/6_Fattahi/Fattahi4.fjs
Fattahi1.fjs,2,2,4,65,data/6_Fattahi/Fattahi1.fjs
Fattahi6.fjs,3,3,9,180,data/6_Fattahi/Fattahi6.fjs
Fattahi2.fjs,2,2,4,71,data/6_Fattahi/Fattahi2.fjs
Fattahi9.fjs,3,3,9,100,data/6_Fattahi/Fattahi9.fjs
Fattahi17.fjs,8,7,32,320,data/6_Fattahi/Fattahi17.fjs
HurinkSdata29.fjs,20,10,200,99,data/2a_Hurink_sdata/HurinkSdata29.fjs
HurinkSdata23.fjs,10,10,100,99,data/2a_Hurink_sdata/HurinkSdata23.fjs
HurinkSdata61.fjs,10,10,100,99,data/2a_Hurink_sdata/HurinkSdata61.fjs
HurinkSdata11.fjs,15,5,75,98,data/2a_Hurink_sdata/HurinkSdata11.fjs
HurinkSdata26.fjs,15,10,150,97,data/2a_Hurink_sdata/HurinkSdata26.fjs
HurinkSdata35.fjs,30,10,300,99,data/2a_Hurink_sdata/HurinkSdata35.fjs
HurinkSdata34.fjs,30,10,300,99,data/2a_Hurink_sdata/HurinkSdata34.fjs
HurinkSdata32.fjs,20,10,200,99,data/2a_Hurink_sdata/HurinkSdata32.fjs
HurinkSdata58.fjs,10,10,100,99,data/2a_Hurink_sdata/HurinkSdata58.fjs
HurinkSdata48.fjs,20,15,300,40,data/2a_Hurink_sdata/HurinkSdata48.fjs
HurinkSdata1.fjs,6,6,36,10,data/2a_Hurink_sdata/HurinkSdata1.fjs
HurinkSdata41.fjs,15,15,225,99,data/2a_Hurink_sdata/HurinkSdata41.fjs
HurinkSdata56.fjs,8,8,64,965,data/2a_Hurink_sdata/HurinkSdata56.fjs
HurinkSdata42.fjs,15,15,225,99,data/2a_Hurink_sdata/HurinkSdata42.fjs
HurinkSdata43.fjs,15,15,225,99,data/2a_Hurink_sdata/HurinkSdata43.fjs
HurinkSdata59.fjs,10,10,100,99,data/2a_Hurink_sdata/HurinkSdata59.fjs
HurinkSdata2.fjs,10,10,100,99,data/2a_Hurink_sdata/HurinkSdata2.fjs
HurinkSdata63.fjs,10,10,99,59,data/2a_Hurink_sdata/HurinkSdata63.fjs
HurinkSdata18.fjs,20,5,100,99,data/2a_Hurink_sdata/HurinkSdata18.fjs
HurinkSdata17.fjs,20,5,100,97,data/2a_Hurink_sdata/HurinkSdata17.fjs
HurinkSdata46.fjs,20,15,300,40,data/2a_Hurink_sdata/HurinkSdata46.fjs
HurinkSdata36.fjs,30,10,300,99,data/2a_Hurink_sdata/HurinkSdata36.fjs
HurinkSdata49.fjs,11,5,55,999,data/2a_Hurink_sdata/HurinkSdata49.fjs
HurinkSdata65.fjs,10,10,100,99,data/2a_Hurink_sdata/HurinkSdata65.fjs
HurinkSdata8.fjs,10,5,50,97,data/2a_Hurink_sdata/HurinkSdata8.fjs
HurinkSdata9.fjs,15,5,75,98,data/2a_Hurink_sdata/HurinkSdata9.fjs
HurinkSdata28.fjs,15,10,150,99,data/2a_Hurink_sdata/HurinkSdata28.fjs
HurinkSdata22.fjs,10,10,100,97,data/2a_Hurink_sdata/HurinkSdata22.fjs
HurinkSdata53.fjs,10,6,60,999,data/2a_Hurink_sdata/HurinkSdata53.fjs
HurinkSdata52.fjs,14,4,56,999,data/2a_Hurink_sdata/HurinkSdata52.fjs
HurinkSdata37.fjs,30,10,300,99,data/2a_Hurink_sdata/HurinkSdata37.fjs
HurinkSdata20.fjs,10,10,100,98,data/2a_Hurink_sdata/HurinkSdata20.fjs
HurinkSdata64.fjs,10,10,100,97,data/2a_Hurink_sdata/HurinkSdata64.fjs
HurinkSdata57.fjs,10,10,100,99,data/2a_Hurink_sdata/HurinkSdata57.fjs
HurinkSdata31.fjs,20,10,200,99,data/2a_Hurink_sdata/HurinkSdata31.fjs
HurinkSdata10.fjs,15,5,75,97,data/2a_Hurink_sdata/HurinkSdata10.fjs
HurinkSdata33.fjs,20,10,200,99,data/2a_Hurink_sdata/HurinkSdata33.fjs
HurinkSdata12.fjs,15,5,75,99,data/2a_Hurink_sdata/HurinkSdata12.fjs
HurinkSdata54.fjs,8,9,72,999,data/2a_Hurink_sdata/HurinkSdata54.fjs
